time,rhum
7/18/2015,79.21
7/19/2015,86
7/20/2015,82
7/21/2015,72
7/22/2015,64
7/18/2016,68
7/19/2016,75.8
7/20/2016,75.8
7/21/2016,71.8
7/22/2016,70
7/18/2017,73.4
7/19/2017,73.4
7/20/2017,71
7/22/2017,75
7/18/2018,77.6
7/19/2018,77.3
7/20/2018,77.2
7/21/2018,79.7
7/22/2018,79.7
7/18/2019,75
7/19/2019,71
7/20/2019,71
7/21/2019,74
7/22/2019,79
7/18/2020,73
7/19/2020,73
7/20/2020,75
7/21/2020,75.3
7/22/2020,76
7/18/2021,78
7/19/2021,76
7/20/2021,76
7/21/2021,78
7/22/2021,81
7/18/2022,76
7/19/2022,78
7/20/2022,77.5
7/21/2022,74.2
7/22/2022,76
7/18/2023,78.2
7/19/2023,78.17
7/20/2023,76.48
7/21/2023,78.3
7/22/2023,78.46
7/18/2024,78.6
7/19/2024,79.71
7/20/2024,78.92
7/21/2024,77.71
7/22/2024,77.84
