"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USW00014846","SANDUSKY, OH US","2015-07-18","0.00","90","72"
"USW00014846","SANDUSKY, OH US","2015-07-19","0.00","88","73"
"USW00014846","SANDUSKY, OH US","2015-07-20","0.00","85","65"
"USW00014846","SANDUSKY, OH US","2015-07-21","0.00","79","70"
"USW00014846","SANDUSKY, OH US","2015-07-22","0.00","79","65"
"USW00014846","SANDUSKY, OH US","2015-07-23","0.00","81","63"
"USW00014846","SANDUSKY, OH US","2015-07-24","0.00","84","66"
"USW00014846","SANDUSKY, OH US","2015-07-25","0.00","87","69"
"USW00014846","SANDUSKY, OH US","2015-07-26","0.00","81","69"
"USW00014846","SANDUSKY, OH US","2015-07-27","0.00","83","65"
"USW00014846","SANDUSKY, OH US","2015-07-28","0.00","84","72"
"USW00014846","SANDUSKY, OH US","2015-07-29","0.55","91","70"
"USW00014846","SANDUSKY, OH US","2015-07-30","0.00","85","66"
"USW00014846","SANDUSKY, OH US","2015-07-31","0.00","84","68"
"USW00014846","SANDUSKY, OH US","2015-08-01","0.00","83","64"
"USW00014846","SANDUSKY, OH US","2015-08-02","0.22","89","66"
"USW00014846","SANDUSKY, OH US","2015-08-03","0.54","83","63"
"USW00014846","SANDUSKY, OH US","2015-08-04","0.00","82","61"
"USW00014846","SANDUSKY, OH US","2015-08-05","0.00","79","66"
"USW00014846","SANDUSKY, OH US","2015-08-06","0.00","74","63"
"USW00014846","SANDUSKY, OH US","2015-08-07","0.00","77","63"
"USW00014846","SANDUSKY, OH US","2015-08-08","0.00","78","66"
"USW00014846","SANDUSKY, OH US","2015-08-09","0.00","81","68"
"USW00014846","SANDUSKY, OH US","2015-08-10","0.07","84","70"
"USW00014846","SANDUSKY, OH US","2015-08-11","0.00","79","70"
"USW00014846","SANDUSKY, OH US","2015-08-12","0.00","75","64"
"USW00014846","SANDUSKY, OH US","2015-08-13","0.00","82","61"
"USW00014846","SANDUSKY, OH US","2015-08-14","0.00","83","69"
"USW00014846","SANDUSKY, OH US","2015-08-15","0.05","82","68"
"USW00014846","SANDUSKY, OH US","2015-08-16","0.00","88","68"
"USW00014846","SANDUSKY, OH US","2015-08-17","0.02","85","70"
"USW00014846","SANDUSKY, OH US","2015-08-18","0.88","81","69"
