STATION,DATE,NAME,PRCP,TMAX,TMIN
USW00014846,2015-07-18,"SANDUSKY, OH US",0.0,322.0,222.0
USW00014846,2015-07-19,"SANDUSKY, OH US",0.0,311.0,228.0
USW00014846,2015-07-20,"SANDUSKY, OH US",0.0,294.0,183.0
USW00014846,2015-07-21,"SANDUSKY, OH US",0.0,261.0,211.0
USW00014846,2015-07-22,"SANDUSKY, OH US",0.0,261.0,183.0
USW00014846,2016-07-18,"SANDUSKY, OH US",112.0,294.0,211.0
USW00014846,2016-07-19,"SANDUSKY, OH US",0.0,294.0,217.0
USW00014846,2016-07-20,"SANDUSKY, OH US",0.0,272.0,178.0
USW00014846,2016-07-21,"SANDUSKY, OH US",0.0,328.0,211.0
USW00014846,2016-07-22,"SANDUSKY, OH US",0.0,333.0,244.0
USW00014846,2017-07-18,"SANDUSKY, OH US",0.0,283.0,178.0
USW00014846,2017-07-19,"SANDUSKY, OH US",0.0,317.0,228.0
USW00014846,2017-07-20,"SANDUSKY, OH US",0.0,300.0,233.0
USW00014846,2017-07-21,"SANDUSKY, OH US",0.0,294.0,228.0
USW00014846,2017-07-22,"SANDUSKY, OH US",61.0,300.0,228.0
USW00014846,2018-07-18,"SANDUSKY, OH US",0.0,256.0,194.0
USW00014846,2018-07-19,"SANDUSKY, OH US",0.0,272.0,167.0
USW00014846,2018-07-20,"SANDUSKY, OH US",15.0,278.0,200.0
USW00014846,2018-07-21,"SANDUSKY, OH US",0.0,261.0,200.0
USW00014846,2018-07-22,"SANDUSKY, OH US",28.0,228.0,194.0
USW00014846,2019-07-18,"SANDUSKY, OH US",5.0,317.0,211.0
USW00014846,2019-07-19,"SANDUSKY, OH US",0.0,350.0,256.0
USW00014846,2019-07-20,"SANDUSKY, OH US",58.0,356.0,250.0
USW00014846,2019-07-21,"SANDUSKY, OH US",36.0,294.0,211.0
USW00014846,2019-07-22,"SANDUSKY, OH US",53.0,244.0,200.0
USW00014846,2020-07-18,"SANDUSKY, OH US",0.0,333.0,211.0
USW00014846,2020-07-19,"SANDUSKY, OH US",0.0,317.0,228.0
USW00014846,2020-07-20,"SANDUSKY, OH US",0.0,294.0,217.0
USW00014846,2020-07-21,"SANDUSKY, OH US",0.0,278.0,222.0
USW00014846,2020-07-22,"SANDUSKY, OH US",0.0,283.0,211.0
USW00014846,2021-07-18,"SANDUSKY, OH US",5.0,272.0,189.0
USW00014846,2021-07-19,"SANDUSKY, OH US",8.0,272.0,194.0
USW00014846,2021-07-20,"SANDUSKY, OH US",8.0,283.0,217.0
USW00014846,2021-07-21,"SANDUSKY, OH US",8.0,244.0,194.0
USW00014846,2021-07-22,"SANDUSKY, OH US",5.0,233.0,172.0
USW00014846,2022-07-18,"SANDUSKY, OH US",3.0,289.0,211.0
USW00014846,2022-07-19,"SANDUSKY, OH US",8.0,311.0,206.0
USW00014846,2022-07-20,"SANDUSKY, OH US",3.0,322.0,228.0
USW00014846,2022-07-21,"SANDUSKY, OH US",3.0,311.0,228.0
USW00014846,2022-07-22,"SANDUSKY, OH US",0.0,306.0,222.0
USW00014846,2023-07-18,"SANDUSKY, OH US",33.0,250.0,189.0
USW00014846,2023-07-19,"SANDUSKY, OH US",46.0,250.0,172.0
USW00014846,2023-07-20,"SANDUSKY, OH US",10.0,300.0,194.0
USW00014846,2023-07-21,"SANDUSKY, OH US",5.0,250.0,194.0
USW00014846,2023-07-22,"SANDUSKY, OH US",8.0,272.0,172.0
USW00014846,2024-07-18,"SANDUSKY, OH US",0.0,239.0,194.0
USW00014846,2024-07-19,"SANDUSKY, OH US",0.0,244.0,156.0
USW00014846,2024-07-20,"SANDUSKY, OH US",0.0,267.0,156.0
USW00014846,2024-07-21,"SANDUSKY, OH US",0.0,278.0,178.0
USW00014846,2024-07-22,"SANDUSKY, OH US",5.0,244.0,200.0
